Task,Loc,Basis,AdaBN,MK-MMD Max,MK-MMD Mean,JMMD Max,JMMD Mean,LJMMD Max,LJMMD Mean,CORAL Max,CORAL Mean,DANN Max,DANN Mean,CDAN Max,CDAN Mean,NWD Max,NWD Mean
Source,,,,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean,Max,Mean
0_to_1,Best,,,,,,,,,,,53.67,49.24,,,,
0_to_1,Last,,,,,,,,,,,48.39,45.98,,,,
1_to_0,Best,,,,,,,,,,,63.05,55.63,,,,
1_to_0,Last,,,,,,,,,,,54.25,51.7,,,,
